data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2024/07/03 00:00:00;;730000.00;33.33;'APARTAMENTO';'Rua SANTO INACIO';473;'301';;'MOINHOS VENTO';90570150;0.00;439.68;278.39;1989;'145996';'1';'Lançada'
2024/07/03 00:00:00;;20000.00;33.33;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua SANTO INACIO';473;'1';;'MOINHOS VENTO';90570150;0.00;26.74;16.93;1989;'146003';'1';'Lançada'
2024/07/03 00:00:00;;20000.00;33.33;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua SANTO INACIO';473;'2';;'MOINHOS VENTO';90570150;0.00;26.51;16.79;1989;'146004';'1';'Lançada'
2024/09/18 00:00:00;;480000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Avenida MADRID';38;;;'NAVEGANTES';90240560;242.00;187.16;187.16;1985;'63582';'1';'Lançada'
2024/09/16 00:00:00;;310000.00;100.00;'APARTAMENTO';'Rua COMENDADOR ALBINO CUNHA';128;'303';;'CRISTO REDENTOR';91040040;0.00;116.58;74.63;2013;'173507';'4';'Lançada'
2024/09/16 00:00:00;;307000.00;100.00;'APARTAMENTO';'Rua COMENDADOR ALBINO CUNHA';128;'304';;'CRISTO REDENTOR';91040040;0.00;115.36;73.85;2013;'173513';'4';'Lançada'
2024/09/16 00:00:00;;70000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua COMENDADOR ALBINO CUNHA';128;'16';;'CRISTO REDENTOR';91040040;0.00;31.77;22.35;2013;'173533';'4';'Lançada'
2024/09/16 00:00:00;;70000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua COMENDADOR ALBINO CUNHA';128;'17';;'CRISTO REDENTOR';91040040;0.00;32.21;22.66;2013;'173534';'4';'Lançada'
2024/07/16 00:00:00;;2746000.00;100.00;'IMOVEL ESPECIAL';'Rua CASEMIRO DE ABREU';362;'362';;'RIO BRANCO';90420001;466.00;689.03;689.03;2004;'200123';'1';'Lançada'
2024/12/12 00:00:00;;1900000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua VISCONDE DO RIO BRANCO';755;'755';;'MOINHOS VENTO';90220231;525.14;408.00;408.00;2010;'75863';'1';'Reestimada'
2024/11/16 00:00:00;;750000.00;100.00;;'Avenida DO  LAMI';5698;;;'BOA VISTA DO SU';91780120;3000.00;;;;'150140';'3';'Lançada'
2024/11/13 00:00:00;;1800000.00;100.00;;'Estrada DO  VAREJAO';1711;;;'LAMI';91787170;307088.00;;;;'76215';'3';'Lançada'
2024/11/12 00:00:00;;1164080.00;100.00;'RESIDENCIA ISOLADA';'Rua AFONSO ARINOS';788;;'788 e 792';'CAVALHADA';91910350;520.00;467.55;467.55;2010;'2911';'3';'Lançada'
2024/01/30 00:00:00;2024/07/03 00:00:00;140000.00;100.00;;'Rua DOS BUGIOS';150;;;'SAO CAETANO';91784020;3040.00;;;;'19187';'3';'Impressa'
2024/11/14 00:00:00;2024/11/18 00:00:00;541000.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua MARCILIO DIAS';614;;;'MENINO DEUS';90130001;314.00;73.00;73.00;1992;'1584';'5';'Impressa'
2024/11/14 00:00:00;2024/11/18 00:00:00;1454000.00;100.00;'GARAGEM COLETIVA';'Rua MARCILIO DIAS';606;;;'MENINO DEUS';90130001;636.00;547.00;547.00;1985;'22272';'5';'Impressa'
2024/08/13 00:00:00;;1738720.96;100.00;'SALA COMERCIAL';'Rua MARECHAL FLORIANO PEIXOTO';185;'901';;'CENTRO HISTORIC';90020061;0.00;458.90;373.38;1977;'24384';'1';'Lançada'
2024/08/13 00:00:00;;1300000.00;50.00;'SALA COMERCIAL';'Rua MARECHAL FLORIANO PEIXOTO';185;'1001';;'CENTRO HISTORIC';90020061;0.00;458.90;373.38;1977;'24385';'1';'Lançada'
2024/11/04 00:00:00;;1680000.00;100.00;'RESIDENCIA ISOLADA';'Avenida JERONIMO DE ORNELAS';48;'48';;'SANTANA';90040341;528.00;328.00;328.00;1961;'60576';'2';'Lançada'
2024/07/02 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua TOMAZ GONZAGA';20;'52';;'BOA VISTA';91340480;0.00;11.42;10.58;1995;'99583';'4';'Lançada'
2024/07/02 00:00:00;;12500.00;25.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua CARLOS TREIN FILHO';1256;'56';'Torre A';'BELA VISTA';90450120;0.00;17.84;12.00;1994;'105724';'1';'Lançada'
2024/07/02 00:00:00;;147500.00;50.00;'APARTAMENTO';'Avenida SAO PEDRO';422;'21';;'SAO GERALDO';90230120;0.00;105.16;86.60;1962;'42128';'1';'Lançada'
2024/07/02 00:00:00;;134500.00;25.00;'LOJA TERREA EM EDIFICIO';'Rua SIQUEIRA CAMPOS';932;'02';;'CENTRO HISTORIC';90010001;0.00;137.95;97.93;1960;'148468';'1';'Lançada'
2024/07/02 00:00:00;;230000.00;25.00;'APARTAMENTO';'Rua CARLOS TREIN FILHO';1256;'203';;'BELA VISTA';90450120;0.00;254.67;155.78;1994;'105653';'1';'Lançada'
2024/07/02 00:00:00;;238000.00;100.00;'APARTAMENTO';'Avenida SAO PEDRO';406;'1';;'SAO GERALDO';90230120;0.00;84.89;70.26;1951;'42118';'1';'Lançada'
2024/07/02 00:00:00;;20000.00;25.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua GEN IBA MESQUITA ILHA MOREIRA';180;'34';;'BOA VISTA';91340190;0.00;32.41;21.16;2003;'121069';'4';'Lançada'
2024/07/02 00:00:00;;456250.00;25.00;'RESIDENCIA PADRONIZADA EM COND HORIZONTAL FECHADO';'Rua QUATORZE DE JULHO';746;'19';;'BOA VISTA';91340430;0.00;452.79;260.80;1999;'112777';'4';'Lançada'
2024/07/02 00:00:00;;733750.00;25.00;'RESIDENCIA ISOLADA';'Rua FILADELFIA';106;'106';;'SAO JOAO';90550060;1174.58;351.00;351.00;2010;'176388';'1';'Lançada'
2024/07/02 00:00:00;;180500.00;100.00;'SALA COMERCIAL';'Rua SIQUEIRA CAMPOS';940;'402';;'CENTRO HISTORIC';90010001;0.00;75.25;61.96;1960;'148496';'1';'Lançada'
2024/07/02 00:00:00;;2492500.00;25.00;;'Rua QUATORZE DE JULHO';654;;'640,668 e 682';'BOA VISTA';91340430;3060.00;;;;'65551';'4';'Lançada'
2024/07/02 00:00:00;;1175000.00;25.00;'UNIDADE (DE COMÉRCIO OU SERVIÇOS) DE  FRENTE NÃO ISOLADA';'Avenida SAO PAULO';673;;;'SAO GERALDO';90230161;2710.00;1667.00;1667.00;;'43182';'1';'Lançada'
2024/07/02 00:00:00;;577000.00;25.00;'RESIDENCIA PADRONIZADA EM COND HORIZONTAL FECHADO';'Rua QUATORZE DE JULHO';746;'20';;'BOA VISTA';91340430;0.00;593.35;329.74;1999;'112778';'4';'Lançada'
2024/07/02 00:00:00;;412000.00;100.00;'SALA COMERCIAL';'Rua HILARIO RIBEIRO';202;'305';;'MOINHOS VENTO';90510040;0.00;107.18;54.36;1993;'124400';'1';'Lançada'
2024/07/02 00:00:00;;50000.00;25.00;'SALA COMERCIAL';'Rua SANTOS DUMONT';1500;'1410';;'SAO GERALDO';90230241;0.00;64.42;33.15;2014;'188505';'1';'Lançada'
2024/07/02 00:00:00;;295000.00;100.00;'APARTAMENTO';'Avenida SAO PEDRO';390;'21';;'SAO GERALDO';90230120;0.00;105.16;86.60;1961;'42116';'1';'Lançada'
2024/07/02 00:00:00;;295000.00;100.00;'APARTAMENTO';'Avenida SAO PEDRO';390;'12';;'SAO GERALDO';90230120;0.00;105.16;86.60;1951;'42115';'1';'Lançada'
2024/07/02 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua HILARIO RIBEIRO';202;'40';;'MOINHOS VENTO';90510040;0.00;19.08;12.84;1993;'124456';'1';'Lançada'
2024/07/02 00:00:00;;312500.00;25.00;'RESIDENCIA PADRONIZADA EM COND HORIZONTAL FECHADO';'Rua QUATORZE DE JULHO';460;'12';;'BOA VISTA';91340430;0.00;369.53;173.50;1997;'105105';'4';'Lançada'
2024/07/02 00:00:00;;155500.00;100.00;'SALA COMERCIAL';'Rua SIQUEIRA CAMPOS';940;'401';;'CENTRO HISTORIC';90010001;0.00;64.89;53.43;1960;'148491';'1';'Lançada'
2024/07/02 00:00:00;;1350000.00;25.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Avenida SAO PEDRO';346;;;'SAO GERALDO';90230120;2581.20;1918.00;1918.00;;'124967';'1';'Lançada'
2024/07/02 00:00:00;;235000.00;25.00;'APARTAMENTO';'Rua GEN IBA MESQUITA ILHA MOREIRA';180;'302';;'BOA VISTA';91340190;0.00;209.26;123.96;2003;'120981';'4';'Lançada'
2024/07/02 00:00:00;;1020000.00;100.00;'APARTAMENTO';'Rua GEN IBA MESQUITA ILHA MOREIRA';180;'802';;'BOA VISTA';91340190;0.00;209.26;123.96;2003;'121001';'4';'Lançada'
2024/07/02 00:00:00;;295000.00;100.00;'APARTAMENTO';'Avenida SAO PEDRO';422;'22';;'SAO GERALDO';90230120;0.00;105.16;86.60;1962;'1';'42129';'Lançada'
2024/07/02 00:00:00;;80000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua GEN IBA MESQUITA ILHA MOREIRA';180;'29';;'BOA VISTA';91340190;0.00;32.41;21.16;2003;'121064';'4';'Lançada'
2024/07/02 00:00:00;;12500.00;25.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua CARLOS TREIN FILHO';1256;'57';;'BELA VISTA';90450120;0.00;17.84;12.00;1994;'105725';'1';'Lançada'
2024/07/02 00:00:00;;186000.00;50.00;'HOTEL OU SIMILAR';'Rua MIGUEL TOSTES';30;'309';;'MOINHOS VENTO';90430061;0.00;91.21;43.53;2001;'145350';'1';'Lançada'
2024/07/02 00:00:00;;580000.00;100.00;'APARTAMENTO';'Rua TOMAZ GONZAGA';20;'401';;'BOA VISTA';91340480;0.00;165.74;92.60;1995;'99676';'4';'Lançada'
2024/07/02 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua TOMAZ GONZAGA';20;'38';;'BOA VISTA';91340480;0.00;11.42;10.58;1995;'99569';'4';'Lançada'
